
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
bypass_reg/ff_13   evMS_Rstbl_FlipFlop_81 TSMC13_Conservative slow library default
bypass_reg/ff_14   evMS_Rstbl_FlipFlop_80 TSMC13_Conservative slow library default
bypass_reg/ff_15   evMS_Rstbl_FlipFlop_79 TSMC13_Conservative slow library default
bypass_reg/ff_16   evMS_Rstbl_FlipFlop_78 TSMC13_Conservative slow library default
bypass_reg/ff_17   evMS_Rstbl_FlipFlop_77 TSMC13_Conservative slow library default
bypass_reg/ff_18   evMS_Rstbl_FlipFlop_76 TSMC13_Conservative slow library default
bypass_reg/ff_19   evMS_Rstbl_FlipFlop_75 TSMC13_Conservative slow library default
bypass_reg/ff_20   evMS_Rstbl_FlipFlop_74 TSMC13_Conservative slow library default
bypass_reg/ff_21   evMS_Rstbl_FlipFlop_73 TSMC13_Conservative slow library default
bypass_reg/ff_22   evMS_Rstbl_FlipFlop_72 TSMC13_Conservative slow library default
bypass_reg/ff_23   evMS_Rstbl_FlipFlop_71 TSMC13_Conservative slow library default
bypass_reg/ff_24   evMS_Rstbl_FlipFlop_70 TSMC13_Conservative slow library default
bypass_reg/ff_25   evMS_Rstbl_FlipFlop_69 TSMC13_Conservative slow library default
bypass_reg/ff_26   evMS_Rstbl_FlipFlop_68 TSMC13_Conservative slow library default
bypass_reg/ff_27   evMS_Rstbl_FlipFlop_67 TSMC13_Conservative slow library default
bypass_reg/ff_28   evMS_Rstbl_FlipFlop_66 TSMC13_Conservative slow library default
bypass_reg/ff_29   evMS_Rstbl_FlipFlop_65 TSMC13_Conservative slow library default
bypass_reg/ff_30   evMS_Rstbl_FlipFlop_64 TSMC13_Conservative slow library default
bypass_reg/ff_31   evMS_Rstbl_FlipFlop_63 TSMC13_Conservative slow library default
feeder_reg         evlpRegister_wdt32_0 TSMC13_Conservative slow library default
