
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/13/synopsys/typical.db
Simulation period[1]: 0 ns - 29681 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Tue Aug 14 19:40:20 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 TSMC13_Conservative typical library default
 1.554e-05  1.554e-05  2.000e-12  1.470e-05  8.451e-07  0.000e+00  0.000e+00
            (100.00%)  (  0.00%)  ( 94.56%)  (  5.44%)  (  0.00%)  (  0.00%)
            5.713e-04     478-479    

---*------ 3  evlpMultiplier16/mux/mux_14 (evMUX2_1_70) 2722
 1.459e-05  1.459e-05  2.000e-12  1.378e-05  8.102e-07  6.933e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.45%)  (  5.55%)  (  0.48%)  (  0.00%)
            5.713e-04     437-438    

---*------ 3  evlpMultiplier16/mux/mux_15 (evMUX2_1_69) 2089
 1.142e-05  1.142e-05  2.000e-12  1.077e-05  6.497e-07  7.909e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.31%)  (  5.69%)  (  0.69%)  (  0.00%)
            5.713e-04     606-607    

---*------ 3  evlpMultiplier16/mux/mux_16 (evMUX2_1_68) 943
 5.826e-06  5.826e-06  2.000e-12  5.460e-06  3.657e-07  4.032e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 93.72%)  (  6.28%)  (  0.69%)  (  0.00%)
            5.713e-04     604-605    

---*------ 3  evlpMultiplier16/mux/mux_0 (evMUX2_1_84) 2331
 5.628e-07  5.628e-07  2.000e-12  3.137e-07  2.491e-07  0.000e+00  0.000e+00
            (100.00%)  (  0.00%)  ( 55.74%)  ( 44.26%)  (  0.00%)  (  0.00%)
            1.867e-05     475-476    

--*------- 2  evlpMultiplier16/bypass_reg (evlpRegister_wdt16_1) 74226
 2.572e-05  2.572e-05  1.800e-11  2.949e-06  2.277e-05  2.807e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 11.47%)  ( 88.53%)  (  0.11%)  (  0.00%)
            4.205e-04   17715-17716  

---*------ 3  evlpMultiplier16/bypass_reg/ff_7 (evMS_Rstbl_FlipFlop_39) 5041
 1.756e-06  1.756e-06  1.000e-12  2.031e-07  1.553e-06  1.604e-09  0.000e+00
            (100.00%)  (  0.00%)  ( 11.56%)  ( 88.44%)  (  0.09%)  (  0.00%)
            4.142e-05    2295-2296   

---*------ 3  evlpMultiplier16/bypass_reg/ff_5 (evMS_Rstbl_FlipFlop_41) 5000
 1.740e-06  1.740e-06  1.000e-12  2.006e-07  1.539e-06  1.611e-09  0.000e+00
            (100.00%)  (  0.00%)  ( 11.53%)  ( 88.47%)  (  0.09%)  (  0.00%)
            4.142e-05    2535-2536   

---*------ 3  evlpMultiplier16/bypass_reg/ff_6 (evMS_Rstbl_FlipFlop_40) 5001
 1.739e-06  1.739e-06  1.000e-12  1.996e-07  1.539e-06  1.270e-09  0.000e+00
            (100.00%)  (  0.00%)  ( 11.48%)  ( 88.52%)  (  0.07%)  (  0.00%)
            4.142e-05     955-956    

---*------ 3  evlpMultiplier16/bypass_reg/ff_9 (evMS_Rstbl_FlipFlop_37) 4912
 1.709e-06  1.709e-06  1.000e-12  1.962e-07  1.513e-06  2.162e-09  0.000e+00
            (100.00%)  (  0.00%)  ( 11.48%)  ( 88.52%)  (  0.13%)  (  0.00%)
            4.142e-05    6955-6956   

